quote,author,tags,combined
“be yourself; everyone else is already taken.”,oscar wilde,"['be-yourself', 'gilbert-perreira', 'honesty', 'inspirational', 'misattributed-oscar-wilde', 'quote-investigator']","“be yourself; everyone else is already taken.” - oscar wilde [be-yourself, gilbert-perreira, honesty, inspirational, misattributed-oscar-wilde, quote-investigator]"
"“i'm selfish, impatient and a little insecure. i make mistakes, i am out of control and at times hard to handle. but if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",marilyn monroe,"['best', 'life', 'love', 'mistakes', 'out-of-control', 'truth', 'worst']","“i'm selfish, impatient and a little insecure. i make mistakes, i am out of control and at times hard to handle. but if you can't handle me at my worst, then you sure as hell don't deserve me at my best.” - marilyn monroe [best, life, love, mistakes, out-of-control, truth, worst]"
“two things are infinite: the universe and human stupidity; and i'm not sure about the universe.”,albert einstein,"['human-nature', 'humor', 'infinity', 'philosophy', 'science', 'stupidity', 'universe']","“two things are infinite: the universe and human stupidity; and i'm not sure about the universe.” - albert einstein [human-nature, humor, infinity, philosophy, science, stupidity, universe]"
"“so many books, so little time.”",frank zappa,"['books', 'humor']","“so many books, so little time.” - frank zappa [books, humor]"
“a room without books is like a body without a soul.”,marcus tullius cicero,"['books', 'simile', 'soul']","“a room without books is like a body without a soul.” - marcus tullius cicero [books, simile, soul]"
"“be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",bernard m. baruch,"['ataraxy', 'be-yourself', 'confidence', 'fitting-in', 'individuality', 'misattributed-dr-seuss', 'those-who-matter']","“be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.” - bernard m. baruch [ataraxy, be-yourself, confidence, fitting-in, individuality, misattributed-dr-seuss, those-who-matter]"
"“you've gotta dance like there's nobody watching,love like you'll never be hurt,sing like there's nobody listening,and live like it's heaven on earth.”",william w. purkey,"['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']","“you've gotta dance like there's nobody watching,love like you'll never be hurt,sing like there's nobody listening,and live like it's heaven on earth.” - william w. purkey [dance, heaven, hurt, inspirational, life, love, sing]"
“you know you're in love when you can't fall asleep because reality is finally better than your dreams.”,dr. seuss,"['dreams', 'love', 'reality', 'sleep']","“you know you're in love when you can't fall asleep because reality is finally better than your dreams.” - dr. seuss [dreams, love, reality, sleep]"
"“you only live once, but if you do it right, once is enough.”",mae west,"['humor', 'life']","“you only live once, but if you do it right, once is enough.” - mae west [humor, life]"
“be the change that you wish to see in the world.”,mahatma gandhi,"['action', 'change', 'inspirational', 'philosophy', 'wish']","“be the change that you wish to see in the world.” - mahatma gandhi [action, change, inspirational, philosophy, wish]"
“in three words i can sum up everything i've learned about life: it goes on.”,robert frost,['life'],“in three words i can sum up everything i've learned about life: it goes on.” - robert frost [life]
"“if you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”","j.k. rowling,","['character', 'sirius-black']","“if you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.” - j.k. rowling, [character, sirius-black]"
“donâ€™t walk in front of meâ€¦ i may not followdonâ€™t walk behind meâ€¦ i may not leadwalk beside meâ€¦ just be my friend”,albert camus,"['friends', 'friendship', 'misattributed-albert-camus']","“donâ€™t walk in front of meâ€¦ i may not followdonâ€™t walk behind meâ€¦ i may not leadwalk beside meâ€¦ just be my friend” - albert camus [friends, friendship, misattributed-albert-camus]"
"“if you tell the truth, you don't have to remember anything.”",mark twain,"['lies', 'lying', 'memory', 'truth']","“if you tell the truth, you don't have to remember anything.” - mark twain [lies, lying, memory, truth]"
"“friendship ... is born at the moment when one man says to another ""what! you too? i thought that no one but myself . . .”","c.s. lewis,",['friendship'],"“friendship ... is born at the moment when one man says to another ""what! you too? i thought that no one but myself . . .” - c.s. lewis, [friendship]"
“a friend is someone who knows all about you and still loves you.”,elbert hubbard,"['friend', 'friendship', 'knowledge', 'love']","“a friend is someone who knows all about you and still loves you.” - elbert hubbard [friend, friendship, knowledge, love]"
“always forgive your enemies; nothing annoys them so much.”,oscar wilde,"['enemies', 'forgiveness', 'strategy']","“always forgive your enemies; nothing annoys them so much.” - oscar wilde [enemies, forgiveness, strategy]"
"“to live is the rarest thing in the world. most people exist, that is all.”",oscar wilde,['life'],"“to live is the rarest thing in the world. most people exist, that is all.” - oscar wilde [life]"
“live as if you were to die tomorrow. learn as if you were to live forever.”,mahatma gandhi,"['carpe-diem', 'education', 'inspirational', 'learning']","“live as if you were to die tomorrow. learn as if you were to live forever.” - mahatma gandhi [carpe-diem, education, inspirational, learning]"
